Trial Name,Intervention,N,"Age (mean, SD)","Male (n,%)","Caucasian (n, %)","Asian (n, %)","TJC (mean, SD)b","SJC (mean, SD)b","DAS28 CRP (mean, SD)","DAS28 ESR (mean, SD)","HAQ-DI (mean, SD)"
,TOF (3mg PO),51,53.0 (12.2),-- (13.7),38 (74.5),5 (9.8),24.6 (--),15.9 (--),5.4 (--),6.4 (--),1.5 (--)
,TOF (5mg PO),49,54.0 (13.5),-- (12.2),36 (73.5),6 (12.2),27.1 (--),17.4 (--),5.6 (--),6.6 (--),1.4 (--)
,TOF (10mg PO),61,52.0 (10.9),-- (13.1),44 (72.1),5 (8.2),25.7 (--),16.3 (--),5.5 (--),6.5 (--),1.5 (--)
,TOF (15mg PO),57,53.0 (13.0),-- (12.3),46 (80.7),4 (7.0),25.9 (--),16.9 (--),5.5 (--),6.5 (--),1.6 (--)
,ADA (40mg SC),53,54.0 (11.9),-- (15.1),43 (81.1),4 (7.5),24.1 (--),14.9 (--),5.4 (--),6.3 (--),1.4 (--)
Fleischmann 2018,ADA (40mg SC) + cDMARD,300,53.5 (12.9),71 (23.7),256 (85.0),17 (5.7),26.7 (14.8),17.0 (9.8),6.1 (0.9),-- (--),1.7 (0.6)
,ADA-Pfizer (40mg SC) + cDMARD,297,51.5 (13.6),56 (18.9),261 (88.0),16 (5.4),24.3 (12.3),15.4 (7.8),5.9 (0.9),-- (--),1.5 (0.6)
GO-FORTH,cDMARD,90,51.1 (11.6),15 (17.0),-- (--),-- (100.0),13.2 (7.8),11.4 (6.6),-- (--),5.6 (1.0),1.0 (0.7)
,GOL (100mg SC) + cDMARD,90,50.0 (12.2),9 (10.3),-- (--),-- (100.0),12.9 (7.6),11.5 (6.6),-- (--),5.5 (1.0),.9 (0.6)
,GOL (50mg SC) + cDMARD,89,50.4 (9.9),13 (15.1),-- (--),-- (100.0),13.1 (8.4),11.8 (6.7),-- (--),5.5 (1.2),1.0 (0.6)
GO-FORWARD,GOL (100mg SC),133,51.0a,28 (21.1),-- (--),-- (--),22.0a,11.0a,4.8a,6.0a,1.4 (--)
,cDMARD,133,52.0a,24 (18.0),-- (--),-- (--),21.0a,12.0a,4.9a,6.1a,1.3 (--)
,GOL (100mg SC) + cDMARD,89,50.0a,17 (19.1),-- (--),-- (--),23.0a,12.0a,4.9a,5.9a,1.4 (--)
,GOL (50mg SC) + cDMARD,89,52.0a,17 (19.1),-- (--),-- (--),26.0a,13.0a,5.1a,6.1a,1.4 (--)
GO-FURTHER,GOL (2mg/kg IV) + cDMARD,395,51.9 (12.6),69 (17.5),-- (--),-- (--),26.4 (13.9),15.0 (8.2),6.0 (0.8),-- (--),1.6 (0.6)
,cDMARD,197,51.4 (11.3),40 (20.3),-- (--),-- (--),25.9 (14.1),14.8 (8.5),5.9 (0.9),-- (--),1.6 (0.7)
GO-LIVE,GOL (4mg/kg IV),129,48.4 (--),24 (18.6),86 (67.0),13 (10.1),26.5 (24.0),15.2 (14.0),-- (--),-- (--),1.5 (--)
,GOL (2mg/kg IV) + cDMARD,129,49.7 (--),30 (23.3),88 (68.0),10 (7.8),26.8 (23.0),15.5 (13.0),-- (--),-- (--),1.5 (--)
,cDMARD,129,50.2 (--),26 (20.2),92 (71.0),11 (8.5),28.2 (23.0),16.1 (13.0),-- (--),-- (--),1.5 (--)
,GOL (4mg/kg IV) + cDMARD,128,49.6 (--),25 (19.5),88 (69.0),10 (7.8),27.1 (23.0),15.3 (14.0),-- (--),-- (--),1.5 (--)
,GOL (2mg/kg IV),128,49.9 (--),21 (16.4),93 (73.0),9 (7.0),28.1 (24.0),15.7 (13.0),-- (--),-- (--),1.6 (--)
HIKARI,CTZ (200mg SC) + cDMARD,116,56.0 (10.2),33 (28.4),-- (--),-- (100.0),16.2 (9.6),13.8 (7.5),-- (--),6.1 (0.9),1.1 (0.7)
,cDMARD,114,55.4 (9.8),26 (22.8),-- (--),-- (100.0),17.6 (10.3),15.5 (8.6),-- (--),6.3 (1.0),1.2 (0.7)
Iwahashi 2014,ABT (125mg SC) + cDMARD,59,56.1 (12.3),21 (35.6),-- (--),-- (--),20.9 (9.3),16.4 (7.0),5.6 (0.8),-- (--),1.3 (0.7)
,ABT (10mg/kg IV) + cDMARD,59,55.2 (13.6),11 (18.6),-- (--),-- (--),22.3 (9.9),17.6 (7.2),6.0 (0.9),-- (--),1.3 (0.6)
Jamshidi 2017,ADA-Cinnora (40mg SC) + cDMARD,69,48.3 (12.7),10 (14.7),-- (--),-- (--),9.5 (8.2),10.0 (7.4),-- (--),5.5 (1.2),-- (--)
,ADA (40mg SC) + cDMARD,69,47.6 (11.5),8 (11.8),-- (--),-- (--),9.7 (8.0),9.5 (7.0),-- (--),5.5 (1.3),-- (--)
JESMR,ETN (50mg SC) + cDMARD,77,56.5 (11.1),15 (20.0),-- (--),-- (--),14.9 (8.0),12.6 (6.5),-- (--),-- (--),-- (--)
,ETN (50mg SC),74,58.1 (12.6),9 (12.7),-- (--),-- (--),15.0 (9.4),12.5 (6.1),-- (--),-- (--),-- (--)
J-RAPID,CTZ (400mg SC) + cDMARD,85,55.4 (10.3),16 (18.8),-- (--),-- (100.0),20.5 (10.2),16.6 (7.4),-- (--),6.3 (0.8),1.1 (0.6)
,CTZ (200mg SC) + cDMARD,82,50.6 (11.4),13 (15.9),-- (--),-- (100.0),19.0 (9.0),16.6 (8.4),-- (--),6.2 (0.8),1.1 (0.7)
,cDMARD,77,51.9 (11.1),11 (14.3),-- (--),-- (100.0),19.6 (10.4),17.4 (10.0),-- (--),6.5 (0.9),1.2 (0.7)
,CTZ (100mg SC) + cDMARD,72,54.3 (10.6),14 (19.4),-- (--),-- (100.0),21.2 (13.3),18.4 (10.7),-- (--),6.3 (0.9),1.2 (0.7)
Kim 2007,ADA (40mg SC),65,48.5 (10.2),3 (4.6),-- (--),-- (--),19.2 (9.2),12.2 (5.6),-- (--),-- (--),-- (--)
,cDMARD,63,49.8 (10.5),9 (14.3),-- (--),-- (--),20.3 (8.6),12.8 (5.8),-- (--),-- (--),-- (--)
Kremer 2003,cDMARD,119,54.7 (--),53 (--),-- (87.0),-- (--),29.2 (13.0),21.8 (8.8),-- (--),-- (--),-- (--)
,ABT (10mg/kg IV) + cDMARD,115,55.8 (--),40 (--),-- (87.0),-- (--),30.8 (12.2),21.3 (8.4),-- (--),-- (--),-- (--)
,ABT (2mg/kg IV) + cDMARD,105,54.4 (--),42 (--),-- (87.0),-- (--),28.2 (12.0),20.2 (8.9),-- (--),-- (--),-- (--)
Kremer 2012,cDMARD,69,53.0 (13.4),-- (18.8),58 (84.1), (--),21.6 (--),15.7 (--),-- (--),6.1 (--),1.2 (--)
,TOF (1mg PO) + cDMARD,70,52.0 (11.6),-- (18.6),61 (87.1), (--),23.6 (--),16.5 (--),-- (--),6.4 (--),1.6 (--)
,TOF (3mg PO) + cDMARD,68,51.0 (14.9),-- (23.5),54 (79.4),1 (1.5),22.8 (--),15.7 (--),-- (--),6.1 (--),1.4 (--)
,TOF (5mg PO) + cDMARD,71,52.0 (12.8),-- (19.7),63 (88.7), (--),21.5 (--),14.1 (--),-- (--),6.1 (--),1.4 (--)
,TOF (10mg PO) + cDMARD,74,56.0 (10.4),-- (25.7),64 (86.5), (--),24.8 (--),14.7 (--),-- (--),6.4 (--),1.3 (--)
,TOF (15mg PO) + cDMARD,75,54.0 (11.1),-- (12.0),65 (86.7), (--),23.7 (--),15.3 (--),-- (--),6.2 (--),1.4 (--)
,TOF (20mg PO) + cDMARD,80,54.0 (10.8),-- (12.2),72 (90.0), (--),23.1 (--),15.2 (--),-- (--),6.3 (--),1.5 (--)
LARA,ETN (50mg SC) + cDMARD,281,48.4 (12.0),33 (11.7),134 (48.0),-- (--),25.1 (11.9),18.2 (8.4),-- (--),6.6 (0.7),1.6 (0.7)
,cDMARD,142,48.6 (11.3),14 (9.9),65 (46.0),-- (--),26.2 (12.3),19.3 (10.1),-- (--),6.7 (0.7),1.6 (0.7)
Li 2016,cDMARD,132,46.7 (12.2),28 (21.2),-- (--),-- (--),22.5 (14.8),11.8 (7.4),5.5 (1.1),-- (--),1.2 (0.7)
,GOL (50mg SC) + cDMARD,132,47.7 (11.5),22 (16.7),-- (--),-- (--),22.9 (15.4),10.7 (7.0),5.4 (1.1),-- (--),1.3 (0.7)
LITHE,TOC (4mg/kg IV) + cDMARD,401,51.4 (12.6),-- (16.0),-- (--),-- (--),27.9 (14.2),17.0 (9.8),-- (--),6.5 (0.9),1.5 (0.6)
,TOC (8mg/kg IV) + cDMARD,401,53.4 (11.7),-- (18.0),-- (--),-- (--),29.3 (15.2),17.3 (9.5),-- (--),6.6 (1.0),1.5 (0.6)
,cDMARD,394,51.3 (12.4),-- (17.0),-- (--),-- (--),27.9 (14.8),16.6 (9.2),-- (--),6.5 (1.0),1.5 (0.6)
Matsubara 2018,ABT (10mg/kg IV) + cDMARD,203,56.6 (12.5),38 (18.7),-- (--),-- (--),13.8 (8.9),13.0 (8.0),4.9 (1.0),-- (--),1.0 (0.7)
,cDMARD,202,54.8 (12.1),27 (13.4),-- (--),-- (--),13.9 (8.3),12.3 (6.8),4.7 (1.1),-- (--),.9 (0.6)
MOBILITY,SAR (150mg SC) + cDMARD,400,50.1 (11.9),-- (20.0),-- (86.3),-- (8.3),27.2 (14.2),16.6 (9.0),6.0 (0.9),-- (--),1.6 (0.6)
,SAR (200mg SC) + cDMARD,399,50.8 (11.8),-- (15.0),-- (86.0),-- (8.3),26.5 (14.5),16.8 (9.7),6.0 (0.9),-- (--),1.7 (0.6)
,cDMARD,398,50.9 (11.2),-- (19.0),-- (86.2),-- (8.0),26.8 (13.7),16.7 (9.3),5.9 (0.9),-- (--),1.6 (0.7)
MONARCH,ADA (40mg SC),185,53.6 (11.9),35 (18.9),164 (88.6),-- (--),26.7 (13.6),17.5 (10.3),6.0 (0.9),6.8 (0.8),1.6 (0.6)
,SAR (200mg SC),184,50.9 (12.6),27 (14.7),171 (92.9),-- (--),28.0 (13.2),18.6 (10.7),6.0 (0.9),6.8 (0.8),1.6 (0.6)
Moreland 1999,Placebo,80,51.0 (--),-- (24.0),-- (89.0),-- (--),35.0 (--)d,25.0 (--)d,-- (--),-- (--),1.7 (--)
,ETN (10mg SC),76,53.0 (--),-- (16.0),-- (96.0),-- (--),34.0 (--)d,25.0 (--)d,-- (--),-- (--),1.7 (--)
,ETN (50mg SC),78,53.0 (--),-- (26.0),-- (94.0),-- (--),33.0 (--)d,25.0 (--)d,-- (--),-- (--),1.6 (--)
Niu 2011,cDMARD,12,45.3 (--),-- (16.7),-- (--),-- (--),12.3 (5.8),10.3 (4.6),-- (--),-- (--),.7 (0.3)
,ANA (80mg SC) + cDMARD,38,46.1 (--),-- (18.4),-- (--),-- (--),11.7 (5.4),11.8 (6.5),-- (--),-- (--),.7 (0.4)
OPTION,TOC (4mg/kg IV) + cDMARD,214,51.4 (12.8),38 (18.0),-- (--),-- (--),33.2 (15.6),20.0 (10.9),-- (--),6.8 (0.9),1.6 (0.6)
,TOC (8mg/kg IV) + cDMARD,205,50.8 (11.8),30 (15.0),-- (--),-- (--),31.9 (15.5),19.5 (11.3),-- (--),6.8 (0.9),1.6 (0.6)
,cDMARD,204,50.6 (12.1),45 (22.0),-- (--),-- (--),32.8 (16.1),20.7 (11.7),-- (--),6.8 (0.9),1.5 (0.6)
ORAL-SCAN,TOF (5mg PO) + cDMARD,321,53.7 (11.6),52 (16.2),-- (47.4),-- (--),24.1 (--),14.1 (--),5.2 (--),6.3 (--),1.4 (0.7)
,TOF (10mg PO) + cDMARD,316,52.0 (11.4),33 (13.6),-- (45.6),-- (--),23.0 (--),14.4 (--),5.2 (--),6.3 (--),1.4 (0.7)
,cDMARD,156,-- (--),-- (--),-- (--),-- (--),22.9 (--),14.2 (--),-- (--),-- (--),1.3 (0.7)
ORAL-STANDARD,TOF (5mg PO) + cDMARD,204,53.0 (11.9),30 (14.7),-- (--),-- (--),28.5 (--),16.7 (--),5.4 (0.9),-- (--),1.5 (--)
,ADA (40mg SC) + cDMARD,204,52.5 (11.7),42 (20.6),-- (--),-- (--),26.7 (--),16.4 (--),5.3 (0.9),-- (--),1.5 (--)
,TOF (10mg PO) + cDMARD,201,52.9 (11.8),33 (16.4),-- (--),-- (--),26.1 (--),15.8 (--),5.4 (0.8),-- (--),1.5 (--)
,cDMARD,108,-- (--),-- (--),-- (--),-- (--),-- (--),-- (--),-- (--),-- (--),-- (--)
ORAL-STRATEGY,ADA (40mg SC) + cDMARD,386,50.7 (13.4),66 (17.0),293 (76.0),40 (11.0),15.2 (6.7)c,11.0 (5.4)c,5.7 (1.0),6.5 (1.0),1.6 (0.6)
,TOF (5mg PO),386,49.7 (12.2),65 (17.0),296 (77.0),41 (11.0),15.4 (6.5)c,11.2 (5.6)c,5.7 (0.9),6.5 (0.9),1.6 (0.6)
,TOF (5mg PO) + cDMARD,376,50.0 (13.4),65 (17.0),286 (76.0),38 (10.0),15.6 (6.5)c,11.8 (5.7)c,5.8 (0.9),6.6 (0.9),1.6 (0.6)
ORAL-SYNC,TOF (10mg PO) + cDMARD,318,51.9 (11.8),-- (18.9),-- (54.7),-- (--),26.6 (16.1),14.4 (9.7),-- (--),6.4 (1.1),1.4 (0.7)
,TOF (5mg PO) + cDMARD,318,52.7 (11.7),-- (16.2),-- (54.9),-- (--),25.0 (15.3),14.5 (10.3),-- (--),6.3 (1.0),1.4 (0.7)
,cDMARD,158,-- (--),-- (--),-- (--),-- (--),-- (--),-- (--),-- (--),-- (--),1.4 (0.7)
RA-BEAM,cDMARD,488,53.0 (2.0),106 (21.7),-- (--),-- (--),23.0 (14.0),16.0 (9.0),5.7 (1.0),6.4 (--),1.6 (0.7)
,BCT (4mg PO) + cDMARD,487,54.0 (2.0),112 (23.0),-- (--),-- (--),23.0 (13.0),15.0 (8.0),5.8 (0.9),6.5 (--),1.6 (0.7)
,ADA (40mg SC) + cDMARD,330,53.0 (12.0),79 (23.9),-- (--),-- (--),23.0 (14.0),15.0 (9.0),5.8 (0.9),6.4 (--),1.6 (0.7)
RA-BUILD-Af,BCT (2mg PO) + cDMARD,229,52.0 (12.0),45 (20.0),-- (--),-- (--),24.0 (14.0),14.0 (9.0),5.6 (1.0),6.3 (1.0),1.5 (0.6)
,cDMARD,228,51.0 (13.0),39 (17.0),-- (--),-- (--),24.0 (15.0),13.0 (7.0),5.5 (0.9),6.2 (1.0),1.5 (0.6)
,BCT (4mg PO) + cDMARD,227,52.0 (12.0),40 (18.0),-- (--),-- (--),24.0 (14.0),14.0 (7.0),5.6 (0.9),6.2 (0.9),1.6 (0.6)
RA-BUILD-Bf,BCT (2mg PO) + cDMARD,229,52.0 (12.0),45 (20.0),-- (--),-- (--),24.0 (14.0),14.0 (9.0),5.6 (1.0),6.3 (1.0),1.5 (0.6)
,cDMARD,228,51.0 (13.0),39 (17.0),-- (--),-- (--),24.0 (15.0),13.0 (7.0),5.5 (0.9),6.2 (1.0),1.5 (0.6)
,BCT (4mg PO) + cDMARD,227,52.0 (12.0),40 (18.0),-- (--),-- (--),24.0 (14.0),14.0 (7.0),5.6 (0.9),6.2 (0.9),1.6 (0.6)
RACAT,SSZ + HCQ + MTX,178,57.8 (13.0),101 (56.7),-- (90.4),-- (--),13.4 (6.6),11.1 (5.3),-- (--),5.8 (0.9),1.4 (0.8)
,ETN (50mg SC) + cDMARD,175,56.0 (13.2),90 (51.4),-- (83.4),-- (--),13.3 (6.4),11.3 (5.2),-- (--),5.9 (0.9),1.5 (0.8)
RAPID-1,CTZ (200mg SC) + cDMARD,393,51.4 (11.6),-- (17.6),-- (--),-- (--),30.8 (12.4),21.7 (9.9),-- (--),6.9a,-- (--)
,CTZ (400mg SC) + cDMARD,390,52.4 (11.7),-- (16.4),-- (--),-- (--),31.1 (13.3),21.5 (9.8),-- (--),6.9a,-- (--)
,cDMARD,199,52.2 (11.2),-- (16.1),-- (--),-- (--),29.8 (13.0),21.2 (9.7),-- (--),7.0a,-- (--)
RAPID-2,CTZ (200mg SC) + cDMARD,246,52.2 (11.1),40 (16.3),-- (--),-- (--),30.1 (14.5),20.5 (9.6),-- (--),6.9 (0.8),1.6 (0.6)
,CTZ (400mg SC) + cDMARD,246,51.9 (11.8),54 (22.0),-- (--),-- (--),30.0 (13.9),21.0 (10.2),-- (--),6.8 (0.8),1.6 (0.6)
,cDMARD,127,51.5 (11.8),20 (15.7),-- (--),-- (--),30.4 (13.4),21.9 (9.7),-- (--),6.8 (0.9),1.6 (0.6)
RA-SCORE,cDMARD,63,50.3 (11.9),15 (23.8),-- (--),-- (--),14.9 (6.7),11.4 (6.1),5.6 (1.1),6.3 (1.1),1.5 (0.8)
,RTX (500mg IV) + cDMARD,62,48.7 (11.1),17 (27.4),-- (--),-- (--),15.2 (7.5),12.5 (7.1),5.6 (1.1),6.3 (1.2),1.4 (0.7)
,RTX (1000mg IV) + cDMARD,60,50.7 (11.7),10 (16.7),-- (--),-- (--),14.0 (6.9),10.9 (5.9),5.3 (1.0),6.0 (1.1),1.3 (0.7)
RED SEA,ADA (40mg SC),60,55.0 (12.5),15 (--),-- (--),-- (--),-- (--),-- (--),5.6 (0.9),-- (--),-- (--)
,ETN (50mg SC),60,53.2 (13.4),18 (--),-- (--),-- (--),-- (--),-- (--),5.8 (0.9),-- (--),-- (--)
